department;region;district_region;district_city;city_type;city;street;street_type;hous;post_index;partner;status;register;edrpou;address;partner name;id_terminal;koatu;tax_id;koatu2
1;;;Голосіївський;м.;Київ;Голосіївський;проспект;132, приміщення 38;03127;EPS;;2/06 від 10.06.2016;40574810;03127, м.Київ, Голосіївський район, Голосіївський проспект, 132, приміщення 38;333;7308505496;8036100000;15800140;UA48040230080020671
1010001;Харківська;;Немишлянський;м.;Харків;Московський;проспект;247А;61000;delivery;;3/06 від 10.06.2016;40596457;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;;;6310138500;15800254;
1010002;Львівська;Яворівський;;с.;Підрясне;Європейська;вулиця;13;81097;delivery;;3/06 від 10.06.2016;40596462;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;;;4625887503;15800249;
1010003;Дніпропетровська;;Індустріальний;м.;Дніпро;Дніпросталівська;вулиця;5;49000;delivery;;3/06 від 10.06.2016;40596478;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;;;1210137200;15800260;
1010004;Чернігівська;;Деснянський;м.;Чернігів;Широка;вулиця;1А;14000;delivery;;3/06 від 10.06.2016;40596483;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;;;7410136300;15800256;
1010005;;;Шевченківський;м.;Київ;Велика Васильківська;вулиця;15/2;01004;delivery;;3/06 від 10.06.2016;40596499;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;;;8039100000;15800257;
1010006;Одеська;;Суворовський;м.;Одеса;Чорноморського козацтва;вулиця;80;65001;delivery;;3/06 від 10.06.2016;40596504;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;;;5110137600;15801968;
1010007;Полтавська;;Київський;м.;Полтава;Половка;вулиця;68;36000;delivery;;3/06 від 10.06.2016;40655166;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;;;5310136400;15800001;
1010008;Донецька;;;м.;Покровськ;Шмідта;вулиця;202;85301;delivery;;31/07 від 20.07.2016;40683455;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;;;1413200000;15800370;
1010009;Донецька;;Центральний;м.;Маріуполь;Запорізьке шосе;вулиця;1;87500;delivery;;31/07 від 20.07.2016;40683460;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;;;1412336300;15801318;
1010010;Луганська;;;м.;Сєвєродонецьк;Федоренка;вулиця;10;93405;delivery;;600/09/05 від 22.09.2021;40683476;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;;;4412900000;15800365;
1010011;Харківська;;Московський;м.;Харків;Якіра;вулиця;131;61000;delivery;;31/07 від 20.07.2016;40683481;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;Харків-4;;6310137500;15800368;
1010012;Житомирська;;Богунський;м.;Житомир;Малинська;вулиця;4;10029;delivery;;31/07 від 20.07.2016;40683497;10029, Житомирська обл., м.Житомир, Богунський р-н., вул.Малинська, 4;;;1810136300;15800367;
1010013;Івано-Франківська;;;м.;Івано-Франківськ;Сагайдачного;вулиця;48Д;76007;delivery;;31/07 від 20.07.2016;40683502;76007, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 48Д;;;2610100000;15800360;
1010014;Хмельницька;Кам`янець-Подільський;Шевченківський;с.;Кам`янка;Вокзальна;вулиця;2/8;32307;delivery;;31/07 від 20.07.2016;40683518;32307, Хмельницька обл., Кам`янець-Подільський район, село Кам`янка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2/8;;;6822483701;15800364;
1010015;Херсонська;;Суворовський;м.;Херсон;Адмірала Сенявіна;проспект;27;73009;delivery;;31/07 від 20.07.2016;40683523;73009, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;;;6510136900;15800371;
1010016;Волинська;;;м.;Луцьк;Карбишева;вулиця;2;43005;delivery;;31/07 від 20.07.2016;40683539;43005, Волинська обл., місто Луцьк, ВУЛИЦЯ КАРБИШЕВА, будинок 2;;;0710100000;15800369;
1010017;Рівненська;;;м.;Рівне;РОБІТНИЧИЙ;провулок;5;33009;delivery;;31/07 від 20.07.2016;40683544;33009, Рівненська обл., місто Рівне, ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;;;5610100000;15800366;
1010018;;;Голосіївський;м.;Київ;Пирогівський шлях;вулиця;135;03026;delivery;;31/07 від 20.07.2016;40683556;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГІВСЬКИЙ ШЛЯХ, будинок 135;;;8036100000;15800363;
