1;;;Голосіївський;м.;Київ;ГОЛОСІЇВСЬКИЙ;проспект;132, приміщення 38;03127;EPS;;№ 2/06 від 10.06.2016;40574810;03127, м.Київ, Голосіївський район, ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ, будинок 132, приміщення 38;;7308505496;8036100000;15800140;UA80000000000126643;2021.07.08 19:25:39
1010001;Харківська;;Немишлянський;м.;Харків;Московський;проспект;247А;61000;Делівері Авто;;№ 3/06 від 10.06.2016;40596457;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;;;6310138500;15800254;UA63120270010423479;2021.07.08 19:25:39
1010002;Львівська;Яворівський;;с.;Підрясне;Європейська;вулиця;13;81097;Делівері Авто;;№ 3/06 від 10.06.2016;40596462;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;;;4625887503;15800249;UA46060250180032664;2021.07.08 19:25:39
1010003;Дніпропетровська;;Індустріальний;м.;Дніпро;Дніпросталівська;вулиця;5;49000;Делівері Авто;;№ 3/06 від 10.06.2016;40596478;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;;;1210137200;15800260;UA12020010010231764;2021.07.08 19:25:39
1010004;Чернігівська;;Деснянський;м.;Чернігів;Широка;вулиця;1А;14000;Делівері Авто;;№ 3/06 від 10.06.2016;40596483;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;;;7410136300;15800256;UA74100390010122363;2021.07.08 19:25:39
1010005;;;Шевченківський;м.;Київ;Велика Васильківська;вулиця;15/22;01004;Делівері Авто;;№ 3/06 від 10.06.2016;40596499;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;;;8039100000;15800257;UA80000000001078669;2021.07.08 19:25:39
1010006;Одеська;;Суворовський;м.;Одеса;Чорноморського козацтва;вулиця;80;65001;Делівері Авто;;№ 3/06 від 10.06.2016;40596504;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;;;5110137600;15801968;UA51100270010413116;2021.07.08 19:25:39
1010007;Полтавська;;Київський;м.;Полтава;Половка;вулиця;68;36000;Делівері Авто;;№ 3/06 від 10.06.2016;40655166;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;;;5310136400;15800001;UA53080370010183642;2021.07.08 19:25:39
1010008;Донецька;;;м.;Покровськ;Шмідта;вулиця;202;85301;Делівері Авто;;№ 31/07 від 20.07.2016;40683455;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;;;1413200000;15800370;UA14160210000011148;2021.07.08 19:25:39
1010009;Донецька;;Центральний;м.;Маріуполь;Запорізьке шосе;вулиця;1;87500;Делівері Авто;;№ 31/07 від 20.07.2016;40683460;87500, Донецька обл., місто Маріуполь, Центральний район, ЗАПОРІЗЬКЕ ШОСЕ, будинок 1;;;1412336300;15801318;UA14140050010437700;2021.07.08 19:25:39
1010010;Луганська;;;м.;Сєвєродонецьк;Донецька;вулиця;41 А;93400;Делівері Авто;;№ 31/07 від 20.07.2016;40683476;93400, Луганська обл., місто Сєвєродонецьк, ВУЛИЦЯ ДОНЕЦЬКА, будинок 41А;;;4412900000;15800365;UA44120110000010163;2021.07.08 19:25:39
1010011;Харківська;;Московський;м.;Харків;Якіра;вулиця;131;61000;Делівері Авто;;№ 31/07 від 20.07.2016;40683481;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;Харків-4;;6310137500;15800368;UA63120270010315719;2021.07.08 19:25:39
1010012;Житомирська;;Богунський;м.;Житомир;Ватутіна;вулиця;55б;10001;Делівері Авто;;№ 31/07 від 20.07.2016;40683497;10001, Житомирська обл., місто Житомир, Богунський район, ВУЛИЦЯ ВАТУТІНА, будинок 55Б;;;1810136300;15800367;UA18040190010115253;2021.07.08 19:25:39
1010013;Івано-Франківська;;;м.;Івано-Франківськ;Сагайдачного;вулиця;48Д;76007;Делівері Авто;;№ 31/07 від 20.07.2016;40683502;76007, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 48Д;;;2610100000;15800360;UA26040190000081578;2021.07.08 19:25:39
1010014;Хмельницька;Кам'янець-Подільський;Шевченківський;с.;Кам'янка;Вокзальна;вулиця;2/8;32307;Делівері Авто;;№ 31/07 від 20.07.2016;40683518;32307, Хмельницька обл., Кам'янець-Подільський район, село Кам'янка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2/8;;;6822483701;15800364;UA68020230080085264;2021.07.08 19:25:39
1010015;Херсонська;;Суворовський;м.;Херсон;Адмірала Сенявіна;проспект;27;73009;Делівері Авто;;№ 31/07 від 20.07.2016;40683523;73009, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;;;6510136900;15800371;UA65100150010361097;2021.07.08 19:25:39
1010016;Волинська;;;м.;Луцьк;Карбишева;вулиця;2;43005;Делівері Авто;;№ 31/07 від 20.07.2016;40683539;43005, Волинська обл., місто Луцьк, ВУЛИЦЯ КАРБИШЕВА, будинок 2;;;0710100000;15800369;UA07080170000013585;2021.07.08 19:25:39
1010017;Рівненська;;;м.;Рівне;РОБІТНИЧИЙ;провулок;5;33009;Делівері Авто;;№ 31/07 від 20.07.2016;40683544;33009, Рівненська обл., місто Рівне, ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;;;5610100000;15800366;UA56060470000086729;2021.07.08 19:25:39
1010018;;;Голосіївський;м.;Київ;Пироговський шлях;вулиця;135;3026;Делівері Авто;;№ 31/07 від 20.07.2016;40683556;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;;;8036100000;15800363;UA80000000000126643;2021.07.08 19:25:39
1010019;;;Дніпровський;м.;Київ;Віскозна;вулиця;32;2094;Делівері Авто;;№ 31/07 від 20.07.2016;40683565;02094, м.Київ, Дніпровський район, ВУЛИЦЯ ВІСКОЗНА, будинок 32;;;8036600000;15800361;UA80000000000479391;2021.07.08 19:25:39
1010020;Київська;;;м.;Біла Церква;УЗИНСЬКА;вулиця;5;09117;Делівері Авто;;№ 31/07 від 20.07.2016;40683570;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;;;3210300000;15800514;UA32020010000093088;2021.07.08 19:25:39
1010021;Київська;;;м.;Бровари;Красовського;вулиця;16;7403;Делівері Авто;;№ 31/07 від 20.07.2016;40683586;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;;;3210600000;15800513;UA32060050000030591;2021.07.08 19:25:39
1010022;Донецька;;Волноваський;м.;Волноваха;Українська;вулиця;36;85700;Делівері Авто;;№ 31/07 від 20.07.2016;40683591;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА, будинок 36;;;1421510100;15800515;UA14040030010074500;2021.07.08 19:25:39
1010023;Дніпропетровська;;Довгинцівський;м.;Кривий Ріг;Отто Брозовського;вулиця;85;50000;Делівері Авто;;№ 31/07 від 20.07.2016;40683607;50000, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ОТТО БРОЗОВСЬКОГО, будинок 85;;;1211036400;15800510;UA12060170010145934;2021.07.08 19:25:39
1010024;Черкаська;;Придніпровський;м.;Черкаси;ГОГОЛЯ;вулиця;582;18006;Делівері Авто;;№ 31/07 від 20.07.2016;40683612;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;;;7110136400;15800508;UA71080490010144486;2021.07.08 19:25:39
1010025;Черкаська;;;м.;Золотоноша;Шевченка;вулиця;153;19702;Делівері Авто;;№ 31/07 від 20.07.2016;40683628;19701, Черкаська обл., місто Золотоноша, ВУЛИЦЯ ШЕВЧЕНКА, будинок 153;;;7110400000;15800516;UA71040090000047664;2021.07.08 19:25:39
1010026;Запорізька;;Шевченківський;м.;Запоріжжя;КОЛЬОРОВА;вулиця;3;69014;Делівері Авто;;№ 31/07 від 20.07.2016;40683633;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КОЛЬОРОВА, будинок 3;;b47173c3-4922-ea11-81b2-000d3a20e396;2310137500;15800512;UA23060070010748330;2021.07.08 19:25:39
1010027;Полтавська;;Крюківський;м.;Кременчук;Свободи;проспект;172;39610;Делівері Авто;;№ 31/07 від 20.07.2016;40683649;39610, Полтавська обл., місто Кременчук, Крюківський район, ПРОСПЕКТ СВОБОДИ, будинок 172;;;5310436500;15800519;UA53020110010228624;2021.07.08 19:25:39
1010028;Миколаївська;;Центральний;м.;Миколаїв;Мала Морська;вулиця;112;54002;Делівері Авто;;№ 31/07 від 20.07.2016;40683654;54002, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ МАЛА МОРСЬКА, будинок 112;;;4810137200;15800509;UA48060150010443183;2021.07.08 19:25:39
1010029;Донецька;Костянтинівський;;м.;Костянтинівка;Перемоги;площа;3;85102;Делівері Авто;;№ 08/09 від 19.09.2016;40851537;85102, Донецька обл., місто Костянтинівка, ПЛОЩА ПЕРЕМОГИ, будинок 3;;;1412600000;15800520;UA14120070000090878;2021.07.08 19:25:39
1010030;Донецька;Краматорський;;м.;Краматорськ;Архипа Куїнджі;вулиця;5;84333;Делівері Авто;;№ 08/09 від 19.09.2016;40851542;84333, Донецька обл., місто Краматорськ, ВУЛИЦЯ АРХИПА КУЇНДЖІ, будинок 5;;;1412900000;15800528;UA14120090000098500;2021.07.08 19:25:39
1010031;Одеська;Овідіопольський;;смт.;Авангард;Базова;вулиця;20;67806;Делівері Авто;;№ 08/09 від 19.09.2016;40851558;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 20;;5f46b1ad-7f5d-e311-9701-00155d015107;5123755200;15800531;UA51100010000023950;2021.07.08 19:25:39
1010032;Харківська;;Московський;м.;Харків;Василя Стуса;вулиця;6;61054;Делівері Авто;;№ 08/09 від 19.09.2016;40851563;61054, Харківська обл., м.Харків, Московський р-н., вул.Василя Стуса, 6;;;6310137500;15800522;UA63120270010315719;2021.07.08 19:25:39
1010033;Харківська;;Індустріальний;м.;Харків;Роганська;вулиця;147;61172;Делівері Авто;;№ 08/09 від 19.09.2016;40851579;61172, Харківська обл., місто Харків, Індустріальний район, ВУЛИЦЯ РОГАНСЬКА, будинок 147;;;6310138200;15800527;UA63120270010158723;2021.07.08 19:25:39
1010034;Хмельницька;;;м.;Хмельницький;Геологів;вулиця;8;29016;Делівері Авто;;№ 08/09 від 19.09.2016;40851584;29016, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ГЕОЛОГІВ, будинок 8;;;6810100000;15800523;UA68040470000053519;2021.07.08 19:25:39
1010035;Вінницька;;;м.;Вінниця;Ватутіна;вулиця;137;21034;Делівері Авто;;№ 08/09 від 19.09.2016;40851598;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ Ватутіна, будинок 137;;;0510100000;15800524;UA05020030000031457;2021.07.08 19:25:39
1010036;Чернівецька;;Садгірський;м.;Чернівці;Коломийська;вулиця;13Б;58007;Делівері Авто;;№ 08/09 від 19.09.2016;40851605;58007, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КОЛОМИЙСЬКА, будинок 13Б;;;0524955100;15800526;UA05080090010025419;2021.07.08 19:25:39
1010037;Тернопільська;;;м.;Тернопіль;Подільська;вулиця;38А;46400;Делівері Авто;;№ 08/09 від 19.09.2016;40851610;46400, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ПОДІЛЬСЬКА, будинок 38-А;;;6110100000;15800530;UA61040490000035010;2021.07.08 19:25:39
1010038;Львівська;;Сихівський;м.;Львів;БУЗКОВА;вулиця;2;79035;Делівері Авто;;№ 08/09 від 19.09.2016;40851626;79035, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ БУЗКОВА, будинок 2;;5d3b6d45-b249-e211-ab75-00155d012d0d;4610136800;15800521;UA46060250010457177;2021.07.08 19:25:39
1010039;Закарпатська;;;м.;Ужгород;Проектна;вулиця;1А;88006;Делівері Авто;;№ 08/09 від 19.09.2016;40851631;88006, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ПРОЕКТНА, будинок 1А;;;2110100000;15800525;UA21100230000083101;2021.07.08 19:25:39
1890191;Тернопільська;;;м.;Чортків;ШЕВЧЕНКА;вулиця;13;48501;allo;;0802/12/05 від 23.12.2020;;48501, Тернопільська обл., м.Чортків, вул.Шевченка, 13;2864;;6110300000;15802276;UA61060430000094264;2021.07.08 19:25:39
1890192;Івано-Франківська;;;м.;Коломия;Чорновола;вулиця;41;78203;allo;;0802/12/05 від 23.12.2020;;78203, Івано-Франківська обл., м.Коломия, вул.Чорновола, 41;2965;;2610600000;15802277;UA26080070000092582;2021.07.08 19:25:39
1890193;Одеська;;;м.;Білгород-Дністровський;Першотравнева;вулиця;84, літ. А;67701;allo;;07/01/05 від 11.01.2021;;67701, Одеська обл., м.Білгород-Дністровський, вул.Першотравнева, 84-А;3140;;5110300000;15802278;UA51040010000016896;2021.07.08 19:25:39
1890194;Сумська;;;м.;Лебедин;Соборна;площа;3;42200;allo;;07/01/05 від 11.01.2021;;42200, Сумська обл., м.Лебедин, площа Соборна, 3;2763;;5910500000;15802279;UA59080110000034361;2021.07.08 19:25:39
1890195;Донецька;;;м.;Краматорськ;Василя Стуса;вулиця;49-А;84314;allo;;07/01/05 від 11.01.2021;;84314, Донецька обл., м.Краматорськ, вул.Василя Стуса, 49-А;2717;;1412900000;15802280;UA14120090000098500;2021.07.08 19:25:39
1890196;Хмельницька;;;м.;Хмельницький;Проскурівська;вулиця;28;29013;allo;;07/01/05 від 11.01.2021;;29013, Хмельницька обл., м.Хмельницький, вул.Проскурівська, 28;333;;6810100000;15802281;UA68040470000053519;2021.07.08 19:25:39
1890197;Одеська;;;м.;Ізмаїл;ПУШКІНА;вулиця;50-В;68601;allo;;07/01/05 від 11.01.2021;;68601, Одеська обл., м.Ізмаїл, вул.Пушкіна, 50-В;3103;;5110600000;15802282;UA51080030000048246;2021.07.08 19:25:39
1890198;Закарпатська;Іршавський;;м.;Іршава;Народна;площа;8;90100;allo;;07/01/05 від 11.01.2021;;90100, Закарпатська обл., Іршавський р-н., м.Іршава, площа Народна, 8;2971;;2121910100;15802283;UA21120130000025618;2021.07.08 19:25:39
1890199;Закарпатська;;;м.;Хуст;Карпатської Січі;вулиця;40, корп. 6;90400;allo;;07/01/05 від 11.01.2021;;90400, Закарпатська обл., м.Хуст, вул.Карпатської Січі, 40, корп. 6;3094;;2110800000;15802284;UA21120250000077532;2021.07.08 19:25:39
