term;dep
10100641;1010064
10100311;1010031
10100501;1010050
10100591;1010059
10100661;1010066
10100671;1010067
10100681;1010068
10100691;1010069
10100821;1010082
10100881;1010088
10100941;1010094
10100991;1010099
10101141;1010114
10101521;1010152
10101611;1010161
10101621;1010162
10101661;1010166
10101691;1010169
10101821;1010182
10101931;1010193
10102151;1010215
10102511;1010251
10102711;1010271
10102781;1010278
10102821;1010282
10102841;1010284
10102961;1010296
10103161;1010316
10103321;1010332
