department;region;district_region;post_index;city_type;city;district_city;street_type;street;hous;address;koatu;partner
1;;;03127;м.;Київ;Голосіївський;проспект;ГОЛОСІЇВСЬКИЙ;132, приміщення 38;03127, м.Київ, Голосіївський район, ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ, будинок 132, приміщення 38;8036100000;EPS
1010001;Харківська;;61000;м.;Харків;Немишлянський;проспект;Московський;247А;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;6310138500;Делівері Авто
1010002;Львівська;Яворівський;81097;с.;Підрясне;;вулиця;Європейська;13;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;4625887503;Делівері Авто
1010003;Дніпропетровська;;49000;м.;Дніпро;Індустріальний;вулиця;Дніпросталівська;5;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;1210137200;Делівері Авто
1010004;Чернігівська;;14000;м.;Чернігів;Деснянський;вулиця;Широка;1А;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;7410136300;Делівері Авто
1010005;;;01004;м.;Київ;Шевченківський;вулиця;Велика Васильківська;15/22;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;8039100000;Делівері Авто
1010006;Одеська;;65001;м.;Одеса;Суворовський;вулиця;Чорноморського козацтва;80;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;5110137600;Делівері Авто
1010007;Полтавська;;36000;м.;Полтава;Київський;вулиця;Половка;68;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;5310136400;Делівері Авто
1010008;Донецька;;85301;м.;Покровськ;;вулиця;Шмідта;202;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;1413200000;Делівері Авто
1010009;Донецька;;87500;м.;Маріуполь;Центральний;вулиця;Запорізьке шосе;1;87500, Донецька обл., місто Маріуполь, Центральний район, ЗАПОРІЗЬКЕ ШОСЕ, будинок 1;1412336300;Делівері Авто
1010010;Луганська;;93400;м.;Сєвєродонецьк;;вулиця;Донецька;41 А;93400, Луганська обл., місто Сєвєродонецьк, ВУЛИЦЯ ДОНЕЦЬКА, будинок 41А;4412900000;Делівері Авто
