Серійний номер; Активність; Адреса; Зовнішній Id; Власник; Шаблон; Версія ПЗ
11;true;ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ,132, приміщення 38;11;elpaysys;electrum11 (1595425889530);4,0014E+11
12;true;ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ, 132, приміщення 38;12;elpaysys;electrum11 (1595425889530);400900121
120;true;Шевченка бульвар 208/1;12000643;citrus;satua;0
176;true;вул. Маразліївська, будинок 1/20;176;citrus1;satua;0
302;true;ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ,132, приміщення 38;302;webportal-emoney;satua;0
303;true;ГОЛОСІЇВСЬКИЙ ПРОСПЕКТ,132, приміщення 38;303;eapteka-emoney;satua;0
304;true;Шевченко 2;304;unl-emoney;satua;0
1450001;true;Шевченко 1;1450001;flashpay;satua;0
10100011;true;Московський проспект 247а;27e30668-0c2c-e311-8b0d-00155d037960;delivery;delivery_moneytransfer;4,0014E+11
10100021;true;ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;5b3b6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100031;true;вул. Дніпросталівська, 5;d93a6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100041;true;вул.Широка 1а;f53b6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100051;true;вул. Велика Васильківська 15/2;71322701-ca82-e511-8f9d-000d3a200160;delivery;delivery_moneytransfer;4,0014E+11
10100061;true;вул. Чорноморського козацтва 80;a3f0fa22-8c43-e211-b182-00155d037a52;delivery;delivery_moneytransfer;4,0014E+11
10100071;true;вул. Половка 68;014e35eb-fc2e-e211-9d8a-00155d053b5d;delivery;delivery_moneytransfer;4,0014E+11
10100081;true;вул. Шмідта, 202;7b59e6b0-2856-e511-89e5-000d3a200160;delivery;delivery_moneytransfer;4,0014E+11
10100091;true;Запорозьке шосе, 1;693b6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100101;true;вул.Федоренка,10;f1a900ac-5a70-e211-9ce1-00155d012a15;delivery;delivery_moneytransfer;4,0014E+11
10100111;true;Якіра, 131;5f2af375-5d70-e211-9ce1-00155d012a15;delivery;delivery_moneytransfer;4,0014E+11
10100121;true;вул. Ватутіна, 55Б;4eed7cb7-1f6a-e211-81e9-00155d012a15;delivery;delivery_moneytransfer;4,0014E+11
10100131;true;вул. Сагайдачного, 48Д;053b6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100141;true;ВОКЗАЛЬНА, будинок 2/8;0b3b6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100151;true;ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;e73b6d45-b249-e211-ab75-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100161;true;вул. Карбишева, 2;b1b71c66-206a-e211-81e9-00155d012a15;delivery;delivery_moneytransfer;4,0014E+11
10100171;true;ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;9cfcfa88-ed7d-e811-816a-000d3a20e396;delivery;delivery_moneytransfer;4,0014E+11
10100181;true;вул. Пирогівський шлях, 135;bdff546c-cb16-e211-89ed-00155d053b5d;delivery;delivery_moneytransfer;4,0014E+11
10100191;true;вул. Віскозна, 32;df3dc7af-9017-e211-89ed-00155d053b5d;delivery;delivery_moneytransfer;4,0014E+11
10100201;true;Узинська, 5 ;0e1e56a0-bb6b-e211-81e9-00155d012a15;delivery;delivery_moneytransfer;4,0014E+11
10100211;true;вул. Красовського, 16;3a8b2ca7-da49-e211-9515-00155d012d0d;delivery;delivery_moneytransfer;4,0014E+11
10100221;true;Українська, 36;c2787a89-1f2b-e611-80eb-000d3a204dc8;delivery;delivery_moneytransfer;4,0014E+11
10100231;true;вул. Отто Брозовського, 85;d7e2c6fc-fd2e-e211-9d8a-00155d053b5d;delivery;delivery_moneytransfer;4,0014E+11
