Терминал;Отделение;Адрес;Партнёр
10100011;1010001;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;delivery
10100021;1010002;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;delivery
10100031;1010003;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;delivery
10100041;1010004;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;delivery
10100051;1010005;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;delivery
10100061;1010006;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;delivery
10100071;1010007;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;delivery
10100081;1010008;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;delivery
10100091;1010009;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;delivery
10100101;1010010;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;delivery
10100111;1010011;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;delivery
10100121;1010012;10029, Житомирська обл., м.Житомир, Богунський р-н., вул.Малинська, 4;delivery
10100131;1010013;76007, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 48Д;delivery
10100141;1010014;32307, Хмельницька обл., Кам`янець-Подільський район, село Кам`янка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2/8;delivery
10100151;1010015;73009, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;delivery
10100161;1010016;43005, Волинська обл., місто Луцьк, ВУЛИЦЯ КАРБИШЕВА, будинок 2;delivery
10100171;1010017;33009, Рівненська обл., місто Рівне, ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;delivery
10100181;1010018;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГІВСЬКИЙ ШЛЯХ, будинок 135;delivery
10100191;1010019;02094, м.Київ, Дніпровський район, ВУЛИЦЯ ВІСКОЗНА, будинок 32;delivery
10100201;1010020;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;delivery
10100211;1010021;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;delivery
