num;department;termial;serial_number;address;datalog;kind
1;1010111;10101111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;12.01.2022;rro
2;1010112;10101121;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;12.01.2022;rro
3;1010113;10101131;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;12.01.2022;rro
4;1010114;10101141;КМ00005069;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;12.01.2022;rro
5;1010115;10101151;КМ00004801;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;12.01.2022;rro
6;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;12.01.2022;rro
7;1330113;13301131;КС00001432;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;12.01.2022;rro
8;1330333;13303331;КС00011783;14034, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ 1 ТРАВНЯ, будинок 167-А;12.01.2022;rro
9;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;12.01.2022;rro
10;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;15.01.2022;rro
11;1010111;10101111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;15.01.2022;rro
12;1010112;10101121;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;15.01.2022;rro
13;1010113;10101131;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;15.01.2022;rro
14;1010114;10101141;КМ00005069;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;15.01.2022;rro
15;1010115;10101151;КМ00004801;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;15.01.2022;rro
16;1330113;13301131;КС00001432;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;15.01.2022;rro
17;1330333;13303331;КС00011783;14034, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ 1 ТРАВНЯ, будинок 167-А;15.01.2022;rro
18;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;15.01.2022;rro
19;1010111;10101111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;15.01.2022;rro
20;1010112;10101121;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;15.01.2022;rro
21;1010113;10101131;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;15.01.2022;rro
22;1010114;10101141;КМ00005069;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;15.01.2022;rro
23;1330113;13301131;КС00001432;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;15.01.2022;rro
24;1330333;13303331;КС00011783;14034, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ 1 ТРАВНЯ, будинок 167-А;15.01.2022;rro
25;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
26;1010115;10101151;КМ00004801;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;15.01.2022;rro
27;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;15.01.2022;rro
28;1010111;10101111;КЛ00000182;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;15.01.2022;rro
29;1010112;10101121;КМ00004758;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;15.01.2022;rro
30;1010113;10101131;КМ00004752;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;15.01.2022;rro
31;1010114;10101141;КМ00005069;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;15.01.2022;rro
32;1010115;10101151;КМ00004801;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;15.01.2022;rro
33;1330113;13301131;КС00001432;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;15.01.2022;rro
34;1330333;13303331;КС00011783;14034, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ 1 ТРАВНЯ, будинок 167-А;15.01.2022;rro
35;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
36;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
37;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
38;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
39;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
40;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
41;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
42;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
43;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
44;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
45;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
46;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
47;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
48;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
49;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
50;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
51;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
52;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
53;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
54;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
55;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
56;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
57;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
58;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;15.01.2022;rro
59;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
60;1010001;10100012;FK80230649;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
