dep1;dep2;dep3;dep4;dep5;dep6;dep7;edr1;edr2;edr3;edr4;edr5;edr6;edr7;edr8;index1;index2;index3;index4;index5;0Xregion1;region1;region2;region3;region4;region5;region6;region7;region8;region9;region10;region11;region12;region13;region14;region15;region16;region17;region18;region19;region20;region21;region22;region23;region24;region25;region26;region27;region28;region29;region30;region31;region32;region33;region34;region35;region36;0Xdistrict_region1;district_region1;district_region2;district_region3;district_region4;district_region5;district_region6;district_region7;district_region8;district_region9;district_region10;district_region11;district_region12;district_region13;district_region14;district_region15;district_region16;district_region17;district_region18;district_region19;district_region20;district_region21;district_region22;district_region23;district_region24;district_region25;district_region26;district_region27;district_region28;district_region29;district_region30;district_region31;district_region32;district_region33;district_region34;district_region35;0Xmisto1;0Xsmt1;0Xselo1;sity1;sity2;sity3;sity4;sity5;sity6;sity7;sity8;sity9;sity10;sity11;sity12;sity13;sity14;sity15;sity16;sity17;sity18;sity19;sity20;sity21;sity22;sity23;sity24;sity25;sity26;sity27;sity28;adres1;adres2;adres3;adres4;adres5;adres6;adres7;adres8;adres9;adres10;adres11;adres12;adres13;adres14;adres15;adres16;adres17;adres18;adres19;adres20;adres21;adres22;adres23;adres24;adres25;adres26;adres27;adres28;adres29;adres30;adres31;adres32;house1;house2;house3;house4;house5;house6;house7;0Xds1;0ds1;0ds2;0ds3;0ds4;0ds5;0ds6;0ds7;0ds8;0ds9;0ds10;0ds11;0ds12;0ds13;0ds14;0ds15;0ds16;0ds17;0ds18;0ds19;0ds20;0ds21;0ds22;0ds23;0ds24;0ds25;0ds26;0ds27;Xark1;Xobl1;Xkiev1;KORP1;KORP2;KORP3;KORP4;KORP5;KORP6;KORP7;TP1;TP2;TP3;TP4;TP5;TP6;TP7;TP8;TP9;TP10;NP1;NP2;NP3;NP4;NP5;NP6
1;0;1;0;0;9;4;4;1;0;3;2;7;0;4;2;5;0;1;5; ;К;І;Р;О;В;О;Г;Р;А;Д;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;С;Е;Л;И;Щ;Е; ;М;Ы;С;Ь;К;О;Г;О; ;Т;И;П;У; ;Н;О;В;О;Г;Р;А;Д;-;В;О;Л;И;Н;С;Ь;К;И;Й;В;У;Л;И;Ц;Я; ;Є;В;Г;Е;Н;А; ;М;А;Л;А;Н;Ю;К;А;1;1;-;А; ; ;П;О;Д;І;Л;Ь;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;3;8;4;1;1;0;9;2;7;9;8;5;3;2;3; ;Д;О;Н;Е;Ц;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;М;И;Р;Н;О;Г;Р;А;Д; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;Ц;Е;Н;Т;Р;А;Л;Ь;Н;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;3;9;4;1;1;0;9;2;8;4;3;5;6;0;3; ;Р;І;В;Н;Е;Н;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Д;У;Б;Н;О; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;С;Т;Е;Ф;А;Н;И;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;0;4;1;1;0;9;2;9;7;0;8;2;9;2; ;К;И;Ї;В;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Б;У;Ч;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;Я;Б;Л;У;Н;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;1;4;1;1;0;9;3;0;5;7;7;3;0;4; ;І;В;А;Н;О;-;Ф;Р;А;Н;К;І;В;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;К;А;Л;У;Ш; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;К;А;Р;А;К;А;Я; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;3;4;1;1;0;9;3;2;6;6;6;1;0;1; ;О;Д;Е;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Б;А;Л;Т;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;С;А;Д;О;В;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;4;4;1;1;0;9;3;3;1;7;5;7;0;0; ;Х;Е;Р;С;О;Н;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;С;К;А;Д;О;В;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;С;К;А;Д;О;В;С;Ь;К; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;В;';Я;Ч;Е;С;Л;А;В;А; ;Ч;О;Р;Н;О;В;О;Л;А; ; ; ; ; ;1;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;5;4;1;1;0;9;3;4;7;8;9;4;2;7; ;З;А;К;А;Р;П;А;Т;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;У;Ж;Г;О;Р;О;Д;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;М;И;Н;А;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;П;А;Т;Р;У;С;А; ;К;А;Р;П;А;Т;С;Ь;К;О;Г;О; ; ; ; ; ;1;3;-;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;6;4;1;1;0;9;3;5;2;8;9;4;2;7; ;Т;Е;Р;Н;О;П;І;Л;Ь;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Б;Е;Р;Е;Ж;А;Н;И; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;П;Р;И;В;О;К;З;А;Л;Ь;Н;А; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;7;4;1;1;0;9;3;6;8;8;4;5;4;5; ;Д;О;Н;Е;Ц;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Б;А;Х;М;У;Т;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;С;О;Л;Е;Д;А;Р; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;К;А;Р;П;І;Н;С;Ь;К;О;Г;О; ; ; ; ; ; ; ; ; ; ; ; ; ;1;/;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;8;4;1;1;0;9;3;7;3;8;6;0;6;0; ;Д;О;Н;Е;Ц;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;А;В;Д;І;Ї;В;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;П;Р;О;С;П;Е;К;Т; ;І;Н;Д;У;С;Т;Р;І;А;Л;Ь;Н;И;Й; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;4;9;4;1;1;0;9;3;8;9;6;4;1;0;2; ;Х;А;Р;К;І;В;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;П;Е;Р;В;О;М;А;Й;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;/;2; ;М;І;К;Р;О;Р;А;Й;О;Н; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;0;1;0;1;5;0;4;1;1;0;9;3;9;4;0;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;К;И;Ї;В; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;В;У;Л;И;Ц;Я; ;Е;Л;Е;К;Т;Р;О;Т;Е;Х;Н;І;Ч;Н;А; ; ; ; ; ; ; ; ; ; ;4;3;-;А; ; ; ; ;Д;Е;С;Н;Я;Н;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1;3;3;0;3;5;1;4;2;7;6;3;8;3;0;6;1;0;2;0; ;Х;А;Р;К;І;В;С;Ь;К;А; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х;А;Р;К;І;В; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Г;Р;И;Г;О;Р;І;В;С;Ь;К;Е; ;Ш;О;С;Е; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8; ; ; ; ; ; ;Н;О;В;О;Б;А;В;А;Р;С;Ь;К;И;Й; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Х; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
