Найменування відокремленного підрозділу та ПНФП;Адреса;Дата та номер рішення про створення;ЄДРПОУ;Режим роботи;Платежі приймаються в Платіжній системі;Платежі виплачуються  в Платіжній системі
ВІДДІЛЕННЯ №1;03127, м.Київ, Голосіївський район, Голосіївський проспект, 132, приміщення 38;2/06 від 10.06.2016;40574810;не працює;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010001;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;3/06 від 10.06.2016;40596457;ПН-ПТ: 9:00-19:00, СБ: 9:00-15:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010002;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;3/06 від 10.06.2016;40596462;ПН-ПТ: 9:00-19:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010003;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;3/06 від 10.06.2016;40596478;ПН-ПТ: 8:00-20:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010004;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;3/06 від 10.06.2016;40596483;ПН-ПТ: 8:30-18:30, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010005;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;3/06 від 10.06.2016;40596499;ПН-ПТ: 9:00-18:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010006;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;3/06 від 10.06.2016;40596504;ПН-ПТ: 8:00-20:00, СБ: 8:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010007;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;3/06 від 10.06.2016;40655166;ПН-ПТ: 8:30-18:30, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010008;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;31/07 від 20.07.2016;40683455;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010009;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;31/07 від 20.07.2016;40683460;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010010;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;600/09/05 від 22.09.2021;40683476;ПН-ПТ: 9:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010011;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;31/07 від 20.07.2016;40683481;ПН-ПТ: 08:00-18:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1010012;10029, Житомирська обл., м.Житомир, Богунський р-н., вул.Малинська, 4;31/07 від 20.07.2016;40683497;ПН-ПТ: 9:00-19:00, СБ: 9:00-17:00;ВПС ЕЛЕКТРУМ, ВПС FLASHPAY;ВПС ЕЛЕКТРУМ
