№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
1;1010060;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ БОЯРКА , будинок 28;delivery
2;1010080;74900, Херсонська обл., місто Нова Каховка, вул.Заводська, 2-Н;delivery
3;1010107;08601, Київська обл., місто Васильків, ВУЛИЦЯ ГОГОЛЯ, будинок 5-А;delivery
4;1010147;82200, Львівська обл., Дрогобицький р-н., м.Трускавець, вул.Мазепи, 42-Б;delivery
5;1010170;85400, Донецька обл., м.Селидове, вул.Карла Маркса, 41-А;delivery
6;1010189;20708, Черкаська обл., м.Сміла, вул.Тараса Шевченка, 77;delivery
7;1010190;20300, Черкаська обл., м.Умань, вул.Тищика, 4;delivery
8;1010226;61000, Харківська обл., м.Харків, Холодногірський р-н., вул.Кононенка, ряд 21-А, місце 7;delivery
9;1010239;81100, Львівська обл., Пустомитівський р-н., м.Пустомити, вул.Грушевського, 92;delivery
10;1010244;80700, Львівська обл., Золочівський р-н., м.Золочів, вул.Труша, 2-А;delivery
11;1010245;84205, Донецька обл., м. Дружківка, вул. Чайковського, 12;delivery
12;1010246;30405, Хмельницька обл., Шепетівський р-н., м.Шепетівка, вул.Героїв Небесної Сотні, 78;delivery
13;1010247;80383,  Львівська обл., Львівський р-н., с.Малехів, вул. ім.Тараса Козака, 20;delivery
14;1010248;35312, Рівненська обл., Рівненський р-н., смт.Клевань, вул.Залізнична, 4-Г;delivery
15;1010249;50019, Дніпропетровська обл., Кам`янський р-н., м.Жовті Води, вул.Заводська, 1/1;delivery
16;1010250;51700, Дніпропетровська обл., м.Вільногірськ, вул.Степова, 9;delivery
17;1010251;65074, Одеська обл., м.Одеса, Малиновський р-н., вул.Шота Руставелі, 7;delivery
18;1010252;73485, Херсонська обл., м.Херсон, Дніпровський р-н., провулок Янтарний, 1;delivery
19;1010253;84122, Донецька обл., м.Слов`янськ, вул.Центральна, 65;delivery
20;1010254;11104, Житомирська обл., Коростенський р-н., м.Овруч, вул.Рєпкіна, 14;delivery
21;1010255;82300, Львівська обл., Дрогобицький р-н., м.Борислав, вул.Дрогобицька,7;delivery
22;1010256;66401, Одеська обл., Ананьївський р-н., м.Ананьїв, вул.Нищинського, 1;delivery
23;1010257;92801, Луганська обл., Старобільський р-н., смт.Біловодськ, вул.Центральна, 206-А;delivery
24;1010258;08290, Київська обл., Бучанський р-н., смт.Гостомель, вул.Свято-Покровська, 108-А;delivery
25;1010259;22100, Вінницька обл., м.Козятин, вул.Пилипа Орлика, 12;delivery
26;1010260;09801, Київська обл., Білоцерківський р-н., м.Тетіїв, вул.Центральна, 47;delivery
27;1010261;75600, Херсонська обл., Скадовський р-н., м.Гола Пристань, вул.1-го Травня, 29-А;delivery
28;1010262;48601, Тернопільська обл., Чортківський -р-н., м.Заліщики, вул.Стефаника, 26;delivery
29;1010263;81070, Львівська обл., Яворівський -р-н., м.Івано-Франкове, вул.Львівська, 55;delivery
30;1010264;78601, Івано-Франківська обл., Косівський р-н., м.Косів, вул.Грушевського, 1;delivery
31;1010265;12701, Житомирська обл., Новоград-Волинський р-н., м.Баранівка, вул.Першотравнева, 17;delivery
32;1010266;34600, Рівненська обл., Рівненський -р-н., м.Березне, вул.Зірненська, 24/287;delivery
33;1010267;61054, Харківська обл., м.Харків, Київський р-н., Ринок Барабашова (6), павільон С-011-21;delivery
34;1010268;85001, Донецька обл., Покровський р-н., м.Добропілля, вул.Фестивальна, 5;delivery
