№ п/п;"№ Відділення ТОВ ""ЕПС""";Адреса;Партнер
1;1;03127, м.Київ, Голосіївський район, Голосіївський проспект, 132, приміщення 38;EPS
2;1010001;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;delivery
3;1010002;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;delivery
4;1010003;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;delivery
5;1010004;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;delivery
6;1010005;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;delivery
7;1010006;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;delivery
8;1010007;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;delivery
9;1010008;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;delivery
10;1010009;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;delivery
11;1010010;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;delivery
12;1010011;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;delivery
13;1010012;10029, Житомирська обл., м.Житомир, Богунський р-н., вул.Малинська, 4;delivery
14;1010013;76007, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 48Д;delivery
15;1010014;32307, Хмельницька обл., Кам`янець-Подільський район, село Кам`янка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2/8;delivery
16;1010015;73009, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;delivery
17;1010016;43005, Волинська обл., місто Луцьк, ВУЛИЦЯ КАРБИШЕВА, будинок 2;delivery
18;1010017;33009, Рівненська обл., місто Рівне, ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;delivery
19;1010018;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГІВСЬКИЙ ШЛЯХ, будинок 135;delivery
20;1010020;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;delivery
21;1010021;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;delivery
22;1010022;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА, будинок 36;delivery
23;1010023;50000, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ОТТО БРОЗОВСЬКОГО, будинок 85;delivery
24;1010024;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;delivery
25;1010026;69014, Запорізька обл., м.Запоріжжя, Шевченківський р-н., вул.Карпенка-Карого, 54;delivery
26;1010027;39610, Полтавська обл., місто Кременчук, Крюківський район, ПРОСПЕКТ СВОБОДИ, будинок 172;delivery
27;1010028;54034, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Авангардна, 6/8;delivery
28;1010029;85102, Донецька обл., місто Костянтинівка, ПЛОЩА ПЕРЕМОГИ, будинок 3;delivery
29;1010030;84333, Донецька обл., місто Краматорськ, ВУЛИЦЯ АРХИПА КУЇНДЖІ, будинок 5;delivery
30;1010031;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 20;delivery
31;1010032;61054, Харківська обл., м.Харків, Московський р-н., вул.Василя Стуса, 6;delivery
32;1010033;61172, Харківська обл., місто Харків, Індустріальний район, ВУЛИЦЯ РОГАНСЬКА, будинок 147;delivery
33;1010034;29016, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ГЕОЛОГІВ, будинок 8;delivery
34;1010035;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ Ватутіна, будинок 137;delivery
35;1010036;58007, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КОЛОМИЙСЬКА, будинок 13Б;delivery
36;1010037;46400, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ПОДІЛЬСЬКА, будинок 38-А;delivery
